IdAluno,IdTurma,IdPeriodo,IdSerie,AnoMesRefFeatures,AnoRefFeatures,DataRefFeaturesUltDia,TipoTurma,TurnoPrincipal,TotalVagas,IdDisciplina,DisciplinaRequerNota,DisciplinaCargaHorariaSemanal,DisciplinaStUsaNotaConceito,SexoTurma,IdProfessor,Sexo,EstadoCivil,CorRaca,StDeficienciaCegueira,StDeficienciaBaixaVisao,StDeficienciaSurdez,StDeficienciaAuditiva,StDeficienciaFisica,StDeficienciaSurdoCegueira,StDeficienciaMultipla,StDeficienciaMental,StDeficienciaAutismoInfantil,StDeficienciaSindromeAsperger,StDeficienciaSindromeRett,StDeficienciaTrastornoDesintegrativo,StDeficienciaAltasHabilidades,StAppComunicacao_Sincronizado,StRecursoAuxilioLedor,StRecursoAuxilioTranscricao,StRecursoGuiaInterprete,StRecursoTradutorInterpreteDeLibras,StRecursoLeituraLabial,StRecursoMaterialDidaticoProvaBraille,StRecursoProvaAmpliada,StRecursoProvaSuperampliada,StRecursoCdComAudio,StRecursoLinguaPortuguesaSegundaLingua,StRecursoProvaEmVideo,StPermiteUsoImagem,StEstrangeiro,TipoResponsavel,GrauParentescoResponsavel,Idade,QtdAulasFalta,QtdAulasJustificada,QtdAulasPresente,QtdAulasTotal,QtdAulasFaltaAcum,QtdAulasJustificadaAcum,QtdAulasPresenteAcum,QtdAulasTotalAcum,PercFalta,PercJustificada,PercPresente,PercFaltaAcum,PercJustificadaAcum,PercPresenteAcum,QtdTurmas,QtdDisciplinas,QtdAulasFaltaAnoMes,QtdAulasJustificadaAnoMes,QtdAulasPresenteAnoMes,QtdAulasTotalAnoMes,QtdAulasFaltaAnoMesAcum,QtdAulasJustificadaAnoMesAcum,QtdAulasPresenteAnoMesAcum,QtdAulasTotalAnoMesAcum,PercFaltaAnoMes,PercJustificadaAnoMes,PercPresenteAnoMes,PercFaltaAnoMesAcum,PercJustificadaAnoMesAcum,PercPresenteAnoMesAcum,QtdSeriesAAnoAnterior,QtdSeriesCAnoAnterior,QtdSeriesTotalAnoAnterior,QtdSeriesAAcumAnoAnterior,QtdSeriesCAcumAnoAnterior,QtdSeriesTotalAcumAnoAnterior,%SeriesAAnoAnterior,%SeriesCAnoAnterior,%SeriesAAcumAnoAnterior,%SeriesCAcumAnoAnterior, NotaMediaAnoAnterior,ProbabilidadeDesistente
3,106,4,29,202108,2020,2021-08-31 00:00:00,G,T,15.0,,True,1.0,False,A,,F,5.0,R,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Não definido,U,16.0,,,,,,,,,,,,,,,1.0,4.0,1.0,0.0,15.0,16.0,1.0,0.0,17.0,18.0,0.0625,0.0,0.9375,0.0555555555555555,0.0,0.9444444444444444,,,,,,,,,,,,0.014298874
5,113,4,18,202108,2020,2021-08-31 00:00:00,G,I,25.0,,True,1.0,False,A,,F,5.0,B,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Não definido,U,19.0,,,,,,,,,,,,,,,1.0,2.0,2.0,0.0,4.0,6.0,2.0,0.0,4.0,6.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,,,,,,,,,,,,0.0011186667
6,113,4,18,202108,2020,2021-08-31 00:00:00,G,I,25.0,,True,1.0,False,A,,M,5.0,R,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Não definido,U,18.0,,,,,,,,,,,,,,,1.0,2.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,0.0021183174
4,106,4,29,202108,2020,2021-08-31 00:00:00,G,T,15.0,,True,1.0,False,A,,F,5.0,B,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Não definido,U,16.0,,,,,,,,,,,,,,,1.0,4.0,6.0,0.0,10.0,16.0,6.0,0.0,12.0,18.0,0.375,0.0,0.625,0.3333333333333333,0.0,0.6666666666666666,,,,,,,,,,,,0.010872571
7,113,4,18,202108,2020,2021-08-31 00:00:00,G,I,25.0,,True,1.0,False,A,,M,5.0,R,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Não definido,U,18.0,,,,,,,,,,,,,,,1.0,2.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,0.0021183174
9,113,4,18,202108,2020,2021-08-31 00:00:00,G,I,25.0,,True,1.0,False,A,,M,5.0,B,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Não definido,U,20.0,,,,,,,,,,,,,,,1.0,2.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,0.0016749924
8,106,4,29,202108,2020,2021-08-31 00:00:00,G,T,15.0,,True,1.0,False,A,,F,5.0,B,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Não definido,U,19.0,,,,,,,,,,,,,,,1.0,4.0,0.0,0.0,16.0,16.0,0.0,0.0,18.0,18.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,0.005444976
10,113,4,18,202108,2020,2021-08-31 00:00:00,G,I,25.0,,True,1.0,False,A,,F,5.0,R,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Não definido,U,19.0,,,,,,,,,,,,,,,1.0,2.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,0.00047833647
11,113,4,18,202108,2020,2021-08-31 00:00:00,G,I,25.0,,True,1.0,False,A,,M,5.0,P,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Não definido,U,19.0,,,,,,,,,,,,,,,1.0,2.0,2.0,0.0,4.0,6.0,2.0,0.0,4.0,6.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,,,,,,,,,,,,0.00457442
13,113,4,18,202108,2020,2021-08-31 00:00:00,G,I,25.0,,True,1.0,False,A,,M,5.0,R,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Não definido,U,19.0,,,,,,,,,,,,,,,1.0,2.0,5.0,0.0,1.0,6.0,5.0,0.0,1.0,6.0,0.8333333333333334,0.0,0.1666666666666666,0.8333333333333334,0.0,0.1666666666666666,,,,,,,,,,,,0.0045278086
14,113,4,18,202108,2020,2021-08-31 00:00:00,G,I,25.0,,True,1.0,False,A,,M,5.0,B,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Não definido,U,20.0,,,,,,,,,,,,,,,1.0,2.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,0.0016749924
